course_id,genre_id,sort_number,name,introduction,latitude,longitude,address
1,7,0,箱根スカイライン,美しい景色が眺められるドライブコース<br>（画像出典：静岡県道路公社）,35.2172,138.9530164,神奈川県足柄下郡箱根町箱根
1,7,1,大涌谷,箱根ロープウェイでは富士山や芦ノ湖を一望できる<br>（画像出典：nippon.com）,35.2437441,139.0172991,神奈川県足柄下郡箱根町 箱根 仙石原
1,6,2,箱根強羅公園,丘の上にある洋風の植物園<br>（画像出典：箱根強羅公園）,35.2486648,139.0430031,神奈川県足柄下郡箱根町強羅１３００
1,6,3,彫刻の森美術館,野外彫刻の公園と屋内の展示物がある博物館<br>（画像出典：彫刻の森美術館）,35.2451041,139.0488786,神奈川県足柄下郡箱根町二ノ平１１２１
1,4,4,天成園,落ち着いた雰囲気の温泉ホテル<br>（画像出典：天成園）,35.22871,139.0771425,神奈川県足柄下郡箱根町湯本６８２
2,7,0,しまなみ海道,しまなみ海道<br>（画像出典：ひろしま観光ナビ）,34.4338543,133.2157666,広島県尾道市高須町
2,6,1,タオル美術館,タオルとアートを融合させた観光施設<br>（画像出典：今治市）,33.9691314,132.9976673,愛媛県今治市朝倉上甲２９３０
2,4,2,道後温泉,日本最古の温泉施設<br>（画像出典：道後温泉）,33.8520463,132.7842178,愛媛県松山市道後湯之町５−６
2,6,3,とべ動物園,動物園<br>（画像出典：ぐるたび）,33.7643095,132.7897947,愛媛県伊予郡砥部町上原町２４０
2,7,4,四国カルスト,尾根沿いを行くドライブコース<br>（画像出典：いよ観ネット）,33.4724603,132.9744922,愛媛県上浮穴郡久万高原町西谷８１０９
3,6,0,道の駅うつのみやろまんちっく村,46ヘクタールの滞在体験型ファームパーク<br>（画像出典：道の駅うつのみやろまんちっく村）,36.6338759,139.8283519,栃木県宇都宮市新里町丙２５４
3,7,1,第二いろは坂,合わせて48のカーブからなる坂道（上り）<br>（画像出典：東武鉄道）,36.73757,139.497795,栃木県日光市細尾町国道120号線
3,8,2,日光東照宮,江戸幕府初代将軍を祀る 17 世紀の神社<br>（画像出典：アカシアの樹）,36.7578079,139.5971689,栃木県日光市山内２３０１
3,6,3,鬼怒楯岩大吊橋,渓谷を渡る歩行者用の吊橋<br>（画像出典：ニッポン旅マガジン）,36.8206649,139.7062009,栃木県日光市鬼怒川温泉大原1436 
3,6,4,鬼怒川ライン下り,鬼怒川渓谷を川下りするレジャー<br>（画像出典：ニッポン旅マガジン）,36.8256965,139.7155942,栃木県日光市鬼怒川温泉大原１４１
3,4,5,鬼怒川温泉,鬼怒川沿いの温泉宿で知られる温泉街<br>（画像出典：東武鉄道）,36.8257626,139.7155942,栃木県日光市鬼怒川温泉大原
